
NSL-KDD


91	1	1	0.36	0	0	0	0	9	1	255	1	18	0.01	2
255	1	1	1	0	0	0	0	9	1	21	1	22	0	4
1	0.5	0	0	0	0	0	0	1	2	255	1	44	0.46	1
1	1	0	0	0	0	0	0	4	1	255	1	44	1	1
22	1	1	1	0	0	0	0	9	2	2	1	19	0	2
57	0.14	0	0.22	1	1	1	1	5	44	255	1	19	0	0
3	1	0	0.09	0	0	0	0	9	2	33	2	44	0	1
26	1	0	1	0	0	0	0	9	1	2	0	13	0	1
255	1	1	1	0	0	0	0	9	9	39	1	22	0	4
63	1	0	0.4	0.01	0	0	0	9	511	157	0	14	0.4	0
12	0.03	0	0.05	1	1	1	1	5	258	255	1	44	0	0
47	0.39	0	0.18	0	0	0	0	9	23	255	2	44	0.29	1
68	1	0	0.33	0	0	0	0	9	2	186	1	19	0	4
23	1	1	1	0	0	0	0	9	1	1	1	19	0	2
18	0.08	0	0.07	1	1	1	1	5	223	255	1	19	0	0
1	1	0	0.02	0	0	0	0	1	1	47	1	44	0.96	1
14	0.12	0	0.05	1	1	1	1	5	112	255	1	44	0	0
74	1	1	0.3	0	0	0	0	9	1	246	1	18	0.01	2
51	1	0	0.27	0.02	0	0	0	9	2	189	1	19	0.08	4
255	1	1	1	0	0	0	0	9	37	255	1	22	0	4
8	0.04	0	0.03	1	1	1	1	5	283	255	1	44	0	0
21	0.9	0	0.08	0	0	0	0	9	20	255	2	44	0	1
1	1	0	0	0	0	0	0	4	1	255	1	44	0.73	1
60	1	1	0.26	0	0	0	0	9	1	232	1	18	0.01	2


CIC-IDS

6	0	0	0	362	1518.2992	0	6752	6752	0	0	0	1802.6132	613	0
6	0	0	0	28960	3381181.8	0	5856834	5856834	0	0	0	4140762.8	2928872.5	2
6	0	0	6	235	7325.7603	1	12936	504	0	0	0	0	504	4
6	0	0	0	235	1656.5446	0	4620	5165	0	0	0	2413.6438	1580	5
6	0	0	0	227	1049568.6	1	3600187	3643088	0	0	0	1488866.5	793420.75	1
6	0	6	0	0	0	1	5	0	0	0	0	0	0	5
6	2	2	2	29200	296.27774	0	509	599	0	0	0	0	599	5
6	0	0	0	235	28800000	1	99800000	99800000	99800000	99800000	99800000	44600000	20000000	4
6	0	6	0	0	0	1	12	0	0	0	0	0	0	5
6	0	0	0	28960	3278703.8	0	5679318	5679318	0	0	0	4015267	2840095.5	6
6	0	0	0	28960	2983987.2	0	5168758	5168758	0	0	0	3654382.2	2584719.5	2
6	0	0	0	229	178548.53	1	437545	633	0	0	0	328.80466	400.5	3
6	2	2	2	29200	205.76807	0	396	501	0	0	0	0	501	5
6	0	0	0	28960	293.25815	0	563	695	0	0	0	489.3179	349	5
6	0	0	0	28960	303.9786	0	577	629	0	0	0	410.12195	339	5
6	0	0	0	235	24500000	0	84800000	84800000	84800000	84800000	84800000	32000000	12100000	4
6	0	0	0	229	54447.56	2	154097	580	0	0	0	408.0006	291.5	3
6	0	0	0	229	16400000	0	61500000	61500000	7953634	34700000	61500000	21500000	8685616	3
6	0	0	0	28960	2946476	0	5103921	5103921	0	0	0	3608345.5	2552435.5	6
17	43	99	43	-1	119007.625	0	272998	37492	0	0	0	21643.707	12500	0
6	0	0	0	247	0	1	66	0	0	0	0	0	0	1
6	0	0	0	235	26400000	0	98800000	98800000	98800000	98800000	98800000	37300000	14100000	4
6	6	46	6	1013	1768013.6	0	3976328	3976328	0	0	0	1972991.6	1017207.5	0
6	0	6	0	0	272275.84	1	498642	499199	0	0	0	1265.7212	498304	1
6	0	0	0	229	404331.03	2	1143770	660	0	0	0	442.64883	347	3
6	0	0	0	28960	3359180.8	0	5818707	5818707	0	0	0	4113831.2	2909789	2
6	0	0	0	235	27500000	0	99200000	99200000	99200000	99200000	99200000	35100000	12400000	4
6	0	0	0	-1	561.18805	0	975	975	0	0	0	561.18805	327	4
6	2	2	2	29200	287.08536	0	476	546	0	0	0	0	546	5
